Species,Order,Family,IUCN conservation status,Turbines density in whole distribution (per pixel ~ 10k km2),WPD>1 with no turbines today (percent of distribution)
Sericossypha albocristata,Passeriformes,Thraupidae,Vulnerable,0.9,0.0
Setophaga angelae,Passeriformes,Parulidae,Endangered,6.0,0.33
Setophaga chrysoparia,Passeriformes,Parulidae,Endangered,24.7,0.37
Setophaga flavescens,Passeriformes,Parulidae,Endangered,0.0,1.0
Setophaga subita,Passeriformes,Parulidae,Vulnerable,0.0,1.0
Sitta insularis,Passeriformes,Sittidae,Critically Endangered,0.0,1.0
Spinus cucullatus,Passeriformes,Fringillidae,Endangered,3.2,0.56
Spinus yarrellii,Passeriformes,Fringillidae,Vulnerable,36.8,0.28
Spizaetus isidori,Accipitriformes,Accipitridae,Endangered,0.5,0.05
Spizella wortheni,Passeriformes,Passerellidae,Endangered,45.5,0.17
Sporophila beltoni,Passeriformes,Thraupidae,Vulnerable,11.0,0.21
Sporophila cinnamomea,Passeriformes,Thraupidae,Vulnerable,5.6,0.42
Sporophila falcirostris,Passeriformes,Thraupidae,Vulnerable,0.3,0.41
Sporophila frontalis,Passeriformes,Thraupidae,Vulnerable,4.1,0.33
Sporophila iberaensis,Passeriformes,Thraupidae,Endangered,0.0,1.0
Sporophila maximiliani,Passeriformes,Thraupidae,Endangered,0.1,0.2
Sporophila nigrorufa,Passeriformes,Thraupidae,Vulnerable,0.0,0.12
Sporophila palustris,Passeriformes,Thraupidae,Endangered,4.4,0.46
Starnoenas cyanocephala,Columbiformes,Columbidae,Endangered,2.4,0.87
Sternula lorata,Charadriiformes,Laridae,Endangered,3.1,0.62
Synallaxis courseni,Passeriformes,Furnariidae,Vulnerable,0.0,0.0
Synallaxis infuscata,Passeriformes,Furnariidae,Endangered,41.5,0.38
Synallaxis kollari,Passeriformes,Furnariidae,Critically Endangered,0.0,0.67
Synallaxis maranonica,Passeriformes,Furnariidae,Critically Endangered,2.8,0.0
Synallaxis tithys,Passeriformes,Furnariidae,Vulnerable,2.7,0.0
Synallaxis zimmeri,Passeriformes,Furnariidae,Vulnerable,0.2,0.0
Syndactyla ruficollis,Passeriformes,Furnariidae,Vulnerable,5.8,0.1
Synthliboramphus craveri,Charadriiformes,Alcidae,Vulnerable,1.2,0.68
Synthliboramphus hypoleucus,Charadriiformes,Alcidae,Endangered,1.4,0.83
Synthliboramphus scrippsi,Charadriiformes,Alcidae,Vulnerable,1.8,0.84
Tachycineta cyaneoviridis,Passeriformes,Hirundinidae,Endangered,0.0,1.0
Tachycineta euchrysea,Passeriformes,Hirundinidae,Vulnerable,13.1,0.42
Tachyeres leucocephalus,Anseriformes,Anatidae,Vulnerable,19.5,0.68
Tangara argyrofenges,Passeriformes,Thraupidae,Vulnerable,1.7,0.04
Tangara cabanisi,Passeriformes,Thraupidae,Vulnerable,3.8,0.0
Tangara fastuosa,Passeriformes,Thraupidae,Vulnerable,36.9,0.44
Tangara peruviana,Passeriformes,Thraupidae,Vulnerable,2.3,0.35
Taphrolesbia griseiventris,Caprimulgiformes,Trochilidae,Endangered,7.4,0.0
Tephrophilus wetmorei,Passeriformes,Thraupidae,Vulnerable,1.9,0.0
Terenura sicki,Passeriformes,Thamnophilidae,Critically Endangered,4.0,0.5
Thalassarche chlororhynchos,Procellariiformes,Diomedeidae,Endangered,1.6,0.13
Thalassarche chrysostoma,Procellariiformes,Diomedeidae,Endangered,0.7,0.16
Thalassarche eremita,Procellariiformes,Diomedeidae,Vulnerable,0.4,0.14
Thalassarche salvini,Procellariiformes,Diomedeidae,Vulnerable,0.5,0.16
Thalurania ridgwayi,Caprimulgiformes,Trochilidae,Vulnerable,0.0,0.0
Thamnophilus shumbae,Passeriformes,Thamnophilidae,Vulnerable,7.0,0.0
Thamnophilus tenuepunctatus,Passeriformes,Thamnophilidae,Vulnerable,0.9,0.0
Thripophaga amacurensis,Passeriformes,Furnariidae,Vulnerable,0.0,0.0
Thripophaga cherriei,Passeriformes,Furnariidae,Vulnerable,0.0,0.0
Thripophaga macroura,Passeriformes,Furnariidae,Vulnerable,0.6,0.4
Thryophilus nicefori,Passeriformes,Troglodytidae,Critically Endangered,0.0,0.0
Thryophilus sernai,Passeriformes,Troglodytidae,Vulnerable,0.0,0.0
Touit surdus,Psittaciformes,Psittacidae,Vulnerable,11.8,0.39
Toxostoma bendirei,Passeriformes,Mimidae,Vulnerable,0.0,0.29
Toxostoma guttatum,Passeriformes,Mimidae,Critically Endangered,0.0,1.0
Troglodytes monticola,Passeriformes,Troglodytidae,Critically Endangered,0.0,0.5
Troglodytes tanneri,Passeriformes,Troglodytidae,Vulnerable,0.0,1.0
Turdus swalesi,Passeriformes,Turdidae,Vulnerable,16.6,0.0
Tympanuchus pallidicinctus,Galliformes,Phasianidae,Vulnerable,0.0,0.96
Tyrannus cubensis,Passeriformes,Tyrannidae,Endangered,2.2,0.88
Vireo caribaeus,Passeriformes,Vireonidae,Vulnerable,0.0,1.0
Vultur gryphus,Cathartiformes,Cathartidae,Vulnerable,4.9,0.56
Wetmorethraupis sterrhopteron,Passeriformes,Thraupidae,Vulnerable,0.0,0.0
Xanthopsar flavus,Passeriformes,Icteridae,Endangered,10.5,0.79
Xenoglaux loweryi,Strigiformes,Strigidae,Vulnerable,0.0,0.0
Xenoligea montana,Passeriformes,Phaenicophilidae,Vulnerable,11.9,0.14
Xenospiza baileyi,Passeriformes,Passerellidae,Endangered,20.3,0.0
Xiphocolaptes falcirostris,Passeriformes,Furnariidae,Vulnerable,28.7,0.31
Xipholena atropurpurea,Passeriformes,Cotingidae,Vulnerable,14.3,0.41
Xolmis dominicanus,Passeriformes,Tyrannidae,Vulnerable,20.2,0.64
Zaratornis stresemanni,Passeriformes,Cotingidae,Vulnerable,0.0,0.18
Zentrygon carrikeri,Columbiformes,Columbidae,Endangered,0.0,1.0
Zimmerius cinereicapilla,Passeriformes,Tyrannidae,Vulnerable,0.3,0.0
